School Year,Season,Sex,Division,Event,Qualifying Standard
2026-2027,winter,F,Division I State,200 Individual Medley,2:28.29
2026-2027,winter,F,Division I State,50 Freestyle,26.88
2026-2027,winter,F,Division I State,Diving,185 x 2
2026-2027,winter,F,Division I State,100 Butterfly,1:06.91
2026-2027,winter,F,Division I State,100 Freestyle,59.39
2026-2027,winter,F,Division I State,500 Freestyle,5:47.54
2026-2027,winter,F,Division I State,200 Freestyle Relay,1:51.83
2026-2027,winter,F,Division I State,100 Backstroke,1:07.28
2026-2027,winter,F,Division I State,100 Breaststroke,1:17.62
2026-2027,winter,F,Division I State,400 Freestyle Relay,4:06.60
2026-2027,winter,F,Division II State,200 Medley Relay,2:04.90
2026-2027,winter,F,Division II State,200 Freestyle,2:10.01
2026-2027,winter,F,Division II State,200 Individual Medley,2:27.62
2026-2027,winter,F,Division II State,50 Freestyle,26.88
2026-2027,winter,F,Division II State,Diving,185 x 2
2026-2027,winter,F,Division II State,100 Butterfly,1:06.82
2026-2027,winter,F,Division II State,100 Freestyle,59.75
2026-2027,winter,F,Division II State,500 Freestyle,5:49.27
2026-2027,winter,F,Division II State,200 Freestyle Relay,1:52.23
2026-2027,winter,F,Division II State,100 Backstroke,1:07.88
2026-2027,winter,F,Division II State,100 Breaststroke,1:17.26
2026-2027,winter,F,Division II State,400 Freestyle Relay,4:06.03
2026-2027,winter,M,North Sectional,200 Medley Relay,1:52.61
2026-2027,winter,M,North Sectional,200 Freestyle,1:57.99
2026-2027,winter,M,North Sectional,200 Individual Medley,2:13.43
2026-2027,winter,M,North Sectional,50 Freestyle,24.23
2026-2027,winter,M,North Sectional,Diving,178 x 2
2026-2027,winter,M,North Sectional,100 Butterfly,59.10
2026-2027,winter,M,North Sectional,100 Freestyle,52.91
2026-2027,winter,M,North Sectional,500 Freestyle,5:24.50
2026-2027,winter,M,North Sectional,200 Freestyle Relay,1:40.52
2026-2027,winter,M,North Sectional,100 Backstroke,1:01.07
2026-2027,winter,M,North Sectional,100 Breaststroke,1:08.03
2026-2027,winter,M,North Sectional,400 Freestyle Relay,3:42.83
2026-2027,winter,M,South Sectional,200 Medley Relay,1:52.99
2026-2027,winter,M,South Sectional,200 Freestyle,1:59.52
2026-2027,winter,M,South Sectional,200 Individual Medley,2:15.12
2026-2027,winter,M,South Sectional,50 Freestyle,24.28
2026-2027,winter,M,South Sectional,Diving,170 x 2
2026-2027,winter,M,South Sectional,100 Butterfly,59.62
2026-2027,winter,M,South Sectional,100 Freestyle,53.69
2026-2027,winter,M,South Sectional,500 Freestyle,5:29.94
2026-2027,winter,M,South Sectional,200 Freestyle Relay,1:40.74
2026-2027,winter,M,South Sectional,100 Backstroke,1:02.69
2026-2027,winter,M,South Sectional,100 Breaststroke,1:09.07
2026-2027,winter,M,South Sectional,400 Freestyle Relay,3:42.83
2026-2027,winter,M,Central/West Sectional,200 Medley Relay,1:59.59
2026-2027,winter,M,Central/West Sectional,200 Freestyle,2:05.99
2026-2027,winter,M,Central/West Sectional,200 Individual Medley,2:22.18
2026-2027,winter,M,Central/West Sectional,50 Freestyle,25.23
2026-2027,winter,M,Central/West Sectional,Diving,150 x 2
2026-2027,winter,M,Central/West Sectional,100 Butterfly,1:04.01
2026-2027,winter,M,Central/West Sectional,100 Freestyle,55.53
2026-2027,winter,M,Central/West Sectional,500 Freestyle,5:49.82
2026-2027,winter,M,Central/West Sectional,200 Freestyle Relay,1:45.93
2026-2027,winter,M,Central/West Sectional,100 Backstroke,1:06.68
2026-2027,winter,M,Central/West Sectional,100 Breaststroke,1:11.58
2026-2027,winter,M,Central/West Sectional,400 Freestyle Relay,4:06.35
2026-2027,winter,M,Division I State,200 Medley Relay,1:47.47
2026-2027,winter,M,Division I State,200 Freestyle,1:54.61
2026-2027,winter,M,Division I State,200 Individual Medley,2:08.94
2026-2027,winter,M,Division I State,50 Freestyle,23.26
2026-2027,winter,M,Division I State,Diving,193 x 2
2026-2027,winter,M,Division I State,100 Butterfly,57.01
2026-2027,winter,M,Division I State,100 Freestyle,51.34
2026-2027,winter,M,Division I State,500 Freestyle,5:15.16
2026-2027,winter,M,Division I State,200 Freestyle Relay,1:36.50
2026-2027,winter,M,Division I State,100 Backstroke,58.61
2026-2027,winter,M,Division I State,100 Breaststroke,1:04.67
2026-2027,winter,M,Division I State,400 Freestyle Relay,3:34.66
2026-2027,winter,M,Division II State,200 Medley Relay,1:49.80
2026-2027,winter,M,Division II State,200 Freestyle,1:56.97
2026-2027,winter,M,Division II State,200 Individual Medley,2:13.10
2026-2027,winter,M,Division II State,50 Freestyle,23.72
2026-2027,winter,M,Division II State,Diving,185 x 2
2026-2027,winter,M,Division II State,100 Butterfly,58.45
2026-2027,winter,M,Division II State,100 Freestyle,52.31
2026-2027,winter,M,Division II State,500 Freestyle,5:24.31
2026-2027,winter,M,Division II State,200 Freestyle Relay,1:38.03
2026-2027,winter,M,Division II State,100 Backstroke,59.96
2026-2027,winter,M,Division II State,100 Breaststroke,1:07.34
2026-2027,winter,M,Division II State,400 Freestyle Relay,3:41.55
2025-2026,fall,F,North Sectional,200 Medley Relay,2:16.78
2025-2026,fall,F,North Sectional,200 Freestyle,2:13.86
2025-2026,fall,F,North Sectional,200 Individual Medley,2:33.62
2025-2026,fall,F,North Sectional,50 Freestyle,27.62
2025-2026,fall,F,North Sectional,Diving,175 x 2
2025-2026,fall,F,North Sectional,100 Butterfly,1:09.80
2025-2026,fall,F,North Sectional,100 Freestyle,1:01.35
2025-2026,fall,F,North Sectional,500 Freestyle,6:06.93
2025-2026,fall,F,North Sectional,200 Freestyle Relay,1:59.03
2025-2026,fall,F,North Sectional,100 Backstroke,1:08.96
2025-2026,fall,F,North Sectional,100 Breaststroke,1:20.05
2025-2026,fall,F,North Sectional,400 Freestyle Relay,4:25.59
2025-2026,fall,F,South Sectional,200 Medley Relay,2:15.55
2025-2026,fall,F,South Sectional,200 Freestyle,2:14.29
2025-2026,fall,F,South Sectional,200 Individual Medley,2:33.98
2025-2026,fall,F,South Sectional,50 Freestyle,27.73
2025-2026,fall,F,South Sectional,Diving,175 x 2
2025-2026,fall,F,South Sectional,100 Butterfly,1:09.71
2025-2026,fall,F,South Sectional,100 Freestyle,1:01.31
2025-2026,fall,F,South Sectional,500 Freestyle,6:06.23
2025-2026,fall,F,South Sectional,200 Freestyle Relay,1:59.03
2025-2026,fall,F,South Sectional,100 Backstroke,1:09.36
2025-2026,fall,F,South Sectional,100 Breaststroke,1:21.06
2025-2026,fall,F,South Sectional,400 Freestyle Relay,4:24.53
2025-2026,fall,F,Division I State,200 Medley Relay,2:08.57
2025-2026,fall,F,Division I State,200 Freestyle,2:11.32
2025-2026,fall,F,Division I State,200 Individual Medley,2:27.50
2025-2026,fall,F,Division I State,50 Freestyle,26.99
2025-2026,fall,F,Division I State,Diving,185 x 2
2025-2026,fall,F,Division I State,100 Butterfly,1:07.72
2025-2026,fall,F,Division I State,100 Freestyle,59.85
2025-2026,fall,F,Division I State,500 Freestyle,5:49.44
2025-2026,fall,F,Division I State,200 Freestyle Relay,1:56.61
2025-2026,fall,F,Division I State,100 Backstroke,1:08.20
2025-2026,fall,F,Division I State,100 Breaststroke,1:16.97
2025-2026,fall,F,Division I State,400 Freestyle Relay,4:13.78
2025-2026,fall,F,Division II State,200 Medley Relay,2:12.48
2025-2026,fall,F,Division II State,200 Freestyle,2:12.15
2025-2026,fall,F,Division II State,200 Individual Medley,2:30.90
2025-2026,fall,F,Division II State,50 Freestyle,27.55
2025-2026,fall,F,Division II State,Diving,185 x 2
2025-2026,fall,F,Division II State,100 Butterfly,1:09.53
2025-2026,fall,F,Division II State,100 Freestyle,1:00.75
2025-2026,fall,F,Division II State,500 Freestyle,5:55.15
2025-2026,fall,F,Division II State,200 Freestyle Relay,1:57.04
2025-2026,fall,F,Division II State,100 Backstroke,1:08.60
2025-2026,fall,F,Division II State,100 Breaststroke,1:19.12
2025-2026,fall,F,Division II State,400 Freestyle Relay,4:14.44
2025-2026,fall,M,North Sectional,200 Medley Relay,2:16.78
2025-2026,fall,M,North Sectional,200 Freestyle,2:11.79
2025-2026,fall,M,North Sectional,200 Individual Medley,2:31.14
2025-2026,fall,M,North Sectional,50 Freestyle,27.12
2025-2026,fall,M,North Sectional,Diving,180 x 2
2025-2026,fall,M,North Sectional,100 Butterfly,1:08.40
2025-2026,fall,M,North Sectional,100 Freestyle,1:00.34
2025-2026,fall,M,North Sectional,500 Freestyle,6:01.73
2025-2026,fall,M,North Sectional,200 Freestyle Relay,1:59.03
2025-2026,fall,M,North Sectional,100 Backstroke,1:08.51
2025-2026,fall,M,North Sectional,100 Breaststroke,1:17.98
2025-2026,fall,M,North Sectional,400 Freestyle Relay,4:25.59
2025-2026,fall,M,South Sectional,200 Medley Relay,2:15.55
2025-2026,fall,M,South Sectional,200 Freestyle,2:12.74
2025-2026,fall,M,South Sectional,200 Individual Medley,2:31.98
2025-2026,fall,M,South Sectional,50 Freestyle,27.43
2025-2026,fall,M,South Sectional,Diving,180 x 2
2025-2026,fall,M,South Sectional,100 Butterfly,1:09.01
2025-2026,fall,M,South Sectional,100 Freestyle,1:00.33
2025-2026,fall,M,South Sectional,500 Freestyle,6:01.73
2025-2026,fall,M,South Sectional,200 Freestyle Relay,1:59.03
2025-2026,fall,M,South Sectional,100 Backstroke,1:08.01
2025-2026,fall,M,South Sectional,100 Breaststroke,1:19.96
2025-2026,fall,M,South Sectional,400 Freestyle Relay,4:24.53
2025-2026,fall,M,Division I State,200 Medley Relay,2:03.90
2025-2026,fall,M,Division I State,200 Freestyle,1:57.09
2025-2026,fall,M,Division I State,200 Individual Medley,2:13.00
2025-2026,fall,M,Division I State,50 Freestyle,24.00
2025-2026,fall,M,Division I State,Diving,192 x 2
2025-2026,fall,M,Division I State,100 Butterfly,59.00
2025-2026,fall,M,Division I State,100 Freestyle,52.67
2025-2026,fall,M,Division I State,500 Freestyle,5:23.09
2025-2026,fall,M,Division I State,200 Freestyle Relay,1:38.93
2025-2026,fall,M,Division I State,100 Backstroke,1:01.47
2025-2026,fall,M,Division I State,100 Breaststroke,1:08.21
2025-2026,fall,M,Division I State,400 Freestyle Relay,3:49.90
2025-2026,fall,M,Division II State,200 Medley Relay,2:03.90
2025-2026,fall,M,Division II State,200 Freestyle,1:57.09
2025-2026,fall,M,Division II State,200 Individual Medley,2:13.00
2025-2026,fall,M,Division II State,50 Freestyle,24.00
2025-2026,fall,M,Division II State,Diving,192 x 2
2025-2026,fall,M,Division II State,100 Butterfly,59.00
2025-2026,fall,M,Division II State,100 Freestyle,52.67
2025-2026,fall,M,Division II State,500 Freestyle,5:23.09
2025-2026,fall,M,Division II State,200 Freestyle Relay,1:38.93
2025-2026,fall,M,Division II State,100 Backstroke,1:01.47
2025-2026,fall,M,Division II State,100 Breaststroke,1:08.21
2025-2026,fall,M,Division II State,400 Freestyle Relay,3:49.90
2025-2026,winter,F,North Sectional,200 Medley Relay,2:15.35
2025-2026,winter,F,North Sectional,200 Freestyle,2:11.48
2025-2026,winter,F,North Sectional,200 Individual Medley,2:29.73
2025-2026,winter,F,North Sectional,50 Freestyle,26.98
2025-2026,winter,F,North Sectional,Diving,180 x 2
2025-2026,winter,F,North Sectional,100 Butterfly,1:07.32
2025-2026,winter,F,North Sectional,100 Freestyle,59.85
2025-2026,winter,F,North Sectional,500 Freestyle,6:02.47
2025-2026,winter,F,North Sectional,200 Freestyle Relay,1:58.71
2025-2026,winter,F,North Sectional,100 Backstroke,1:08.26
2025-2026,winter,F,North Sectional,100 Breaststroke,1:18.13
2025-2026,winter,F,North Sectional,400 Freestyle Relay,4:26.48
2025-2026,winter,F,South Sectional,200 Medley Relay,2:06.73
2025-2026,winter,F,South Sectional,200 Freestyle,2:12.57
2025-2026,winter,F,South Sectional,200 Individual Medley,2:30.13
2025-2026,winter,F,South Sectional,50 Freestyle,27.14
2025-2026,winter,F,South Sectional,Diving,175 x 2
2025-2026,winter,F,South Sectional,100 Butterfly,1:07.12
2025-2026,winter,F,South Sectional,100 Freestyle,1:00.46
2025-2026,winter,F,South Sectional,500 Freestyle,5:58.37
2025-2026,winter,F,South Sectional,200 Freestyle Relay,1:53.83
2025-2026,winter,F,South Sectional,100 Backstroke,1:08.98
2025-2026,winter,F,South Sectional,100 Breaststroke,1:19.12
2025-2026,winter,F,South Sectional,400 Freestyle Relay,4:13.24
2025-2026,winter,F,Central/West Sectional,200 Medley Relay,2:10.81
2025-2026,winter,F,Central/West Sectional,200 Freestyle,2:15.62
2025-2026,winter,F,Central/West Sectional,200 Individual Medley,2:34.84
2025-2026,winter,F,Central/West Sectional,50 Freestyle,27.27
2025-2026,winter,F,Central/West Sectional,Diving,150 x 2
2025-2026,winter,F,Central/West Sectional,100 Butterfly,1:08.74
2025-2026,winter,F,Central/West Sectional,100 Freestyle,1:00.33
2025-2026,winter,F,Central/West Sectional,500 Freestyle,6:03.67
2025-2026,winter,F,Central/West Sectional,200 Freestyle Relay,1:56.72
2025-2026,winter,F,Central/West Sectional,100 Backstroke,1:10.09
2025-2026,winter,F,Central/West Sectional,100 Breaststroke,1:18.91
2025-2026,winter,F,Central/West Sectional,400 Freestyle Relay,4:20.80
2025-2026,winter,F,Division I State,200 Medley Relay,2:06.46
2025-2026,winter,F,Division I State,200 Freestyle,2:10.09
2025-2026,winter,F,Division I State,200 Individual Medley,2:28.19
2025-2026,winter,F,Division I State,50 Freestyle,26.84
2025-2026,winter,F,Division I State,Diving,185 x 2
2025-2026,winter,F,Division I State,100 Butterfly,1:06.85
2025-2026,winter,F,Division I State,100 Freestyle,59.35
2025-2026,winter,F,Division I State,500 Freestyle,5:47.47
2025-2026,winter,F,Division I State,200 Freestyle Relay,1:51.83
2025-2026,winter,F,Division I State,100 Backstroke,1:07.18
2025-2026,winter,F,Division I State,100 Breaststroke,1:17.48
2025-2026,winter,F,Division I State,400 Freestyle Relay,4:06.60
2025-2026,winter,F,Division II State,200 Medley Relay,2:04.40
2025-2026,winter,F,Division II State,200 Freestyle,2:09.51
2025-2026,winter,F,Division II State,200 Individual Medley,2:27.17
2025-2026,winter,F,Division II State,50 Freestyle,26.84
2025-2026,winter,F,Division II State,Diving,190 x 2
2025-2026,winter,F,Division II State,100 Butterfly,1:06.42
2025-2026,winter,F,Division II State,100 Freestyle,59.35
2025-2026,winter,F,Division II State,500 Freestyle,5:48.37
2025-2026,winter,F,Division II State,200 Freestyle Relay,1:51.83
2025-2026,winter,F,Division II State,100 Backstroke,1:07.48
2025-2026,winter,F,Division II State,100 Breaststroke,1:17.16
2025-2026,winter,F,Division II State,400 Freestyle Relay,4:05.35
2025-2026,winter,M,North Sectional,200 Medley Relay,1:52.61
2025-2026,winter,M,North Sectional,200 Freestyle,1:57.59
2025-2026,winter,M,North Sectional,200 Individual Medley,2:13.03
2025-2026,winter,M,North Sectional,50 Freestyle,24.03
2025-2026,winter,M,North Sectional,Diving,180 x 2
2025-2026,winter,M,North Sectional,100 Butterfly,59.10
2025-2026,winter,M,North Sectional,100 Freestyle,52.91
2025-2026,winter,M,North Sectional,500 Freestyle,5:24.25
2025-2026,winter,M,North Sectional,200 Freestyle Relay,1:40.52
2025-2026,winter,M,North Sectional,100 Backstroke,1:00.67
2025-2026,winter,M,North Sectional,100 Breaststroke,1:07.73
2025-2026,winter,M,North Sectional,400 Freestyle Relay,3:42.67
2025-2026,winter,M,South Sectional,200 Medley Relay,1:52.99
2025-2026,winter,M,South Sectional,200 Freestyle,1:59.02
2025-2026,winter,M,South Sectional,200 Individual Medley,2:15.12
2025-2026,winter,M,South Sectional,50 Freestyle,24.28
2025-2026,winter,M,South Sectional,Diving,175 x 2
2025-2026,winter,M,South Sectional,100 Butterfly,59.32
2025-2026,winter,M,South Sectional,100 Freestyle,53.39
2025-2026,winter,M,South Sectional,500 Freestyle,5:29.94
2025-2026,winter,M,South Sectional,200 Freestyle Relay,1:40.74
2025-2026,winter,M,South Sectional,100 Backstroke,1:02.49
2025-2026,winter,M,South Sectional,100 Breaststroke,1:09.07
2025-2026,winter,M,South Sectional,400 Freestyle Relay,3:42.62
2025-2026,winter,M,Central/West Sectional,200 Medley Relay,1:59.59
2025-2026,winter,M,Central/West Sectional,200 Freestyle,2:04.99
2025-2026,winter,M,Central/West Sectional,200 Individual Medley,2:22.18
2025-2026,winter,M,Central/West Sectional,50 Freestyle,24.98
2025-2026,winter,M,Central/West Sectional,Diving,150 x 2
2025-2026,winter,M,Central/West Sectional,100 Butterfly,1:03.74
2025-2026,winter,M,Central/West Sectional,100 Freestyle,54.88
2025-2026,winter,M,Central/West Sectional,500 Freestyle,5:45.82
2025-2026,winter,M,Central/West Sectional,200 Freestyle Relay,1:45.93
2025-2026,winter,M,Central/West Sectional,100 Backstroke,1:06.68
2025-2026,winter,M,Central/West Sectional,100 Breaststroke,1:10.72
2025-2026,winter,M,Central/West Sectional,400 Freestyle Relay,4:08.35
2025-2026,winter,M,Division I State,200 Medley Relay,1:48.18
2025-2026,winter,M,Division I State,200 Freestyle,1:54.11
2025-2026,winter,M,Division I State,200 Individual Medley,2:08.94
2025-2026,winter,M,Division I State,50 Freestyle,23.38
2025-2026,winter,M,Division I State,Diving,193 x 2
2025-2026,winter,M,Division I State,100 Butterfly,56.97
2025-2026,winter,M,Division I State,100 Freestyle,51.66
2025-2026,winter,M,Division I State,500 Freestyle,5:15.36
2025-2026,winter,M,Division I State,200 Freestyle Relay,1:36.86
2025-2026,winter,M,Division I State,100 Backstroke,58.96
2025-2026,winter,M,Division I State,100 Breaststroke,1:04.88
2025-2026,winter,M,Division I State,400 Freestyle Relay,3:35.42
2025-2026,winter,M,Division II State,200 Medley Relay,1:49.80
2025-2026,winter,M,Division II State,200 Freestyle,1:56.97
2025-2026,winter,M,Division II State,200 Individual Medley,2:12.75
2025-2026,winter,M,Division II State,50 Freestyle,23.68
2025-2026,winter,M,Division II State,Diving,188 x 2
2025-2026,winter,M,Division II State,100 Butterfly,58.03
2025-2026,winter,M,Division II State,100 Freestyle,51.99
2025-2026,winter,M,Division II State,500 Freestyle,5:22.66
2025-2026,winter,M,Division II State,200 Freestyle Relay,1:38.03
2025-2026,winter,M,Division II State,100 Backstroke,59.96
2025-2026,winter,M,Division II State,100 Breaststroke,1:07.21
2025-2026,winter,M,Division II State,400 Freestyle Relay,3:41.55
2024-2025,fall,F,North Sectional,200 Medley Relay,2:16.78
2024-2025,fall,F,North Sectional,200 Freestyle,2:13.29
2024-2025,fall,F,North Sectional,200 Individual Medley,2:31.64
2024-2025,fall,F,North Sectional,50 Freestyle,27.62
2024-2025,fall,F,North Sectional,Diving,175 x 2
2024-2025,fall,F,North Sectional,100 Butterfly,1:08.90
2024-2025,fall,F,North Sectional,100 Freestyle,1:00.84
2024-2025,fall,F,North Sectional,500 Freestyle,6:04.23
2024-2025,fall,F,North Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,F,North Sectional,100 Backstroke,1:08.76
2024-2025,fall,F,North Sectional,100 Breaststroke,1:19.23
2024-2025,fall,F,North Sectional,400 Freestyle Relay,4:25.59
2024-2025,fall,F,South Sectional,200 Medley Relay,2:15.55
2024-2025,fall,F,South Sectional,200 Freestyle,2:13.29
2024-2025,fall,F,South Sectional,200 Individual Medley,2:32.98
2024-2025,fall,F,South Sectional,50 Freestyle,27.53
2024-2025,fall,F,South Sectional,Diving,175 x 2
2024-2025,fall,F,South Sectional,100 Butterfly,1:09.51
2024-2025,fall,F,South Sectional,100 Freestyle,1:00.58
2024-2025,fall,F,South Sectional,500 Freestyle,6:04.23
2024-2025,fall,F,South Sectional,200 Freestyle Relay,1:59.03
2024-2025,fall,F,South Sectional,100 Backstroke,1:08.76
2024-2025,fall,F,South Sectional,100 Breaststroke,1:20.46
2024-2025,fall,F,South Sectional,400 Freestyle Relay,4:24.53
2024-2025,fall,F,Division I State,200 Medley Relay,2:08.27
2024-2025,fall,F,Division I State,200 Freestyle,2:11.02
2024-2025,fall,F,Division I State,200 Individual Medley,2:27.05
2024-2025,fall,F,Division I State,50 Freestyle,26.95
2024-2025,fall,F,Division I State,Diving,185 x 2
2024-2025,fall,F,Division I State,100 Butterfly,1:07.57
2024-2025,fall,F,Division I State,100 Freestyle,59.55
2024-2025,fall,F,Division I State,500 Freestyle,5:48.99
2024-2025,fall,F,Division I State,200 Freestyle Relay,1:56.31
2024-2025,fall,F,Division I State,100 Backstroke,1:07.75
2024-2025,fall,F,Division I State,100 Breaststroke,1:16.52
2024-2025,fall,F,Division I State,400 Freestyle Relay,4:13.48
2024-2025,fall,F,Division II State,200 Medley Relay,2:12.18
2024-2025,fall,F,Division II State,200 Freestyle,2:11.69
2024-2025,fall,F,Division II State,200 Individual Medley,2:30.45
2024-2025,fall,F,Division II State,50 Freestyle,27.25
2024-2025,fall,F,Division II State,Diving,185 x 2
2024-2025,fall,F,Division II State,100 Butterfly,1:08.08
2024-2025,fall,F,Division II State,100 Freestyle,1:00.45
2024-2025,fall,F,Division II State,500 Freestyle,5:54.69
